# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-18 0 0 df7126
-32 1 0 df7126
-31 1 0 df7126
-30 1 0 df7126
-18 1 0 df7126
-30 2 0 df7126
-18 2 0 df7126
-30 3 0 df7126
-18 3 0 df7126
-30 4 0 df7126
-18 4 0 df7126
-30 5 0 df7126
-18 5 0 df7126
-30 6 0 df7126
-18 6 0 df7126
-30 7 0 df7126
-18 7 0 df7126
-30 8 0 df7126
-18 8 0 df7126
-30 9 0 df7126
-29 9 0 df7126
-28 9 0 df7126
-27 9 0 df7126
-26 9 0 df7126
-25 9 0 df7126
-24 9 0 df7126
-23 9 0 df7126
-22 9 0 df7126
-21 9 0 df7126
-20 9 0 df7126
-19 9 0 df7126
-18 9 0 df7126
-17 9 0 df7126
-30 10 0 df7126
-30 11 0 df7126
-30 12 0 df7126
-30 13 0 df7126
-30 14 0 df7126
-30 15 0 df7126
-6 0 0 df7126
-1 0 0 df7126
-6 1 0 df7126
-1 1 0 df7126
-6 2 0 df7126
-1 2 0 df7126
-6 3 0 df7126
-1 3 0 df7126
-6 4 0 df7126
-1 4 0 df7126
-6 5 0 df7126
-1 5 0 df7126
-6 6 0 df7126
-1 6 0 df7126
-6 7 0 df7126
-1 7 0 df7126
-6 8 0 df7126
-1 8 0 df7126
-16 9 0 df7126
-15 9 0 df7126
-14 9 0 df7126
-13 9 0 df7126
-12 9 0 df7126
-11 9 0 df7126
-10 9 0 df7126
-9 9 0 df7126
-8 9 0 df7126
-7 9 0 df7126
-6 9 0 df7126
-5 9 0 df7126
-4 9 0 df7126
-3 9 0 df7126
-2 9 0 df7126
-1 9 0 df7126
-11 10 0 df7126
-6 10 0 df7126
-11 11 0 df7126
-6 11 0 df7126
-11 12 0 df7126
-6 12 0 df7126
-11 13 0 df7126
-10 13 0 df7126
-9 13 0 df7126
-6 13 0 df7126
-9 14 0 df7126
-9 15 0 df7126
-32 -16 0 6abe30
-31 -16 0 6abe30
-30 -16 0 6abe30
-29 -16 0 6abe30
-28 -16 0 6abe30
-27 -16 0 6abe30
-26 -16 0 6abe30
-25 -1 0 df7126
-24 -1 0 df7126
-23 -1 0 df7126
-22 -1 0 df7126
-21 -1 0 df7126
-20 -1 0 df7126
-19 -1 0 df7126
-18 -1 0 df7126
-17 -1 0 df7126
-1 -4 0 df7126
-1 -3 0 df7126
-1 -2 0 df7126
-16 -1 0 df7126
-15 -1 0 df7126
-14 -1 0 df7126
-13 -1 0 df7126
-12 -1 0 df7126
-11 -1 0 df7126
-6 -1 0 df7126
-1 -1 0 df7126
0 -4 0 df7126
1 -4 0 df7126
2 -4 0 df7126
3 -4 0 df7126
4 -4 0 df7126
5 -4 0 df7126
6 -4 0 df7126
7 -4 0 df7126
8 -4 0 df7126
9 -4 0 df7126
10 -4 0 df7126
